sual,cavab
" Natalya aprel ayında 48 dostuna klip satdı, may ayında isə iki dəfə az klip satdı. Natalya aprel və may aylarında cəmi neçə klip satdı?", Natalya may ayında 48/2 = <<48/2=24>>24 klip satdı. Natalya aprel və may aylarında cəmi 48+24 = <<48+24=72>>72 klip satdı. #### 72
" Venq dayəlik etmək üçün saatda 12 dollar qazanır. Dünən o, cəmi 50 dəqiqə dayəlik edib. Nə qədər qazanıb?"," Venq dəqiqədə 12/60 = $<<12/60=0.2>>0.2 qazanır. 50 dəqiqə işləyərək o, 0.2 x 50 = $<<0.2*50=10>>10 qazandı. #### 10"
" Betti 100 dollara yeni bir cüzdan üçün pul yığır. Bettinin ehtiyac duyduğu pulun yalnız yarısı var. Valideynləri ona bu məqsədlə 15 dollar, nənə və babasına isə valideynlərindən iki dəfə çox pul verməyə qərar verdilər. Bettinin cüzdan almaq üçün daha nə qədər pula ehtiyacı var?","Başlanğıcda Bettinin cəmi 100 / 2 = $<<100/2=50>>50 var idi. Bettinin nənə və babası ona 15 * 2 = $<<15*2=30>>30 vermişdilər. Bu o deməkdir ki, Bettinin daha 100 - 50 - 30 - 15 = $<<100-50-30-15=5>>5-ə ehtiyacı var. #### 5"
" Julie 120 səhifəlik kitab oxuyur. Dünən 12 səhifə oxuya bilmişdi və bu gün dünənkindən iki dəfə çox səhifə oxudu. Əgər sabah qalan səhifələrin yarısını oxumaq istəyirsə, neçə səhifə oxumalıdır?"," Mailə bu gün 12 x 2 = <<12*2=24>>24 səhifə oxudu. Beləliklə, dünəndən bəri cəmi 12 + 24 = <<12+24=36>>36 səhifə oxuya bilib. Oxunması üçün 120 - 36 = <<120-36=84>>84 səhifə qalıb. Sabah qalan səhifələrin yarısını oxumaq istədiyi üçün 84/2 = <<84/2=42>>42 səhifə oxumalıdır. #### 42"
" Ceyms həftədə iki dəfə 2 fərqli dostuna 3 səhifəlik məktub yazır. O, ildə neçə səhifə yazır?","O, hər dostuna həftədə 3*2=<<3*2=6>>6 səhifə yazır. Beləliklə, o, hər həftə 6*2=<<6*2=12>>12 səhifə yazır. Bu o deməkdir ki, o, ildə 12*52=<<12*52=624>>624 səhifə yazır. #### 624"
" Markın çiçəkli bir bağı var. O, orada üç müxtəlif rəngli bitki əkib. Onlardan onu sarı rəngdədir və bənövşəyi rəngdə olanların sayı 80% çoxdur. Yaşıl çiçəklərin sayı sarı və bənövşəyi çiçəklərin sayından cəmi 25% azdır. Markın bağçasında neçə çiçəyi var?"," 80/100 * 10 = <<80/100*10=8>> sarı çiçəklərdən 8 ədəd çox bənövşəyi çiçək var. Beləliklə, Markın bağçasında 10 + 8 = <<10+8=18>>18 bənövşəyi çiçək var. Bənövşəyi və sarı çiçəklərin cəmi 10 + 18 = <<10+18=28>>28 çiçək deməkdir. Bu o deməkdir ki, Markın bağçasında 25/100 * 28 = <<25/100*28=7>>7 yaşıl çiçək var. Beləliklə, Markın bağçasında ümumilikdə 28 + 7 = <<28+7=35>>35 bitki var. #### 35"
"Albert bir gündə nə qədər pizza yeyə biləcəyini düşünür. O, 2 böyük və 2 kiçik pizza alır. Böyük bir pizzanın 16 dilimi, kiçik bir pizzanın isə 8 dilimi var. Əgər hamısını yesə, həmin gün neçə tikə yeyəcək?"," O, ən böyük pizzalardan 32-ni yeyir, çünki 2 x 16 = <<2*16=32>>32 O, kiçik pizzalardan 16-nı yeyir, çünki 2 x 8 = <<2*8=16>>16 O, 48 ədəd yeyir, çünki 32 + 16 = <<32+16=48>>48 #### 48"
" Ken internat məktəbində oxuyan qardaşına göndərmək üçün bir yardım paketi hazırladı. Ken tərəzinin üzərinə bir qutu qoydu və sonra qutuya çəkisini 2 funta çatdırmaq üçün kifayət qədər jele tökdü. Sonra çəkisini üçqat artırmaq üçün kifayət qədər brauni əlavə etdi. Daha sonra daha 2 funt jele əlavə etdi. Və nəhayət, çəkisini bir daha ikiqat artırmaq üçün kifayət qədər jeleli qurd əlavə etdi. Şirniyyat qutusunun son çəkisi funtla nə qədər idi?","İlkin 2 funt jele paxlasına çəkisini üçqat artırmaq üçün kifayət qədər brauni əlavə etdi və çəkisini 2*3=<<2*3=6>>6 funta çatdırdı. Daha sonra daha 2 funt jele paxlası əlavə etdi və çəkisini 6+2=<<6+2=8>>8 funta çatdırdı. Və nəhayət, çəkisini bir daha ikiqat artırmaq üçün kifayət qədər jele qurdları əlavə etdi və son çəkisini 8*2=<<8*2=16>>16 funta çatdırdı. #### 16"
" Aleksis yeni işə müraciət edir və müsahibəyə geyinmək üçün yeni iş geyimləri dəsti alıb. O, 200 dollarlıq büdcəsi olan bir univermaqda gedib və 30 dollarını düyməli köynək, 46 dollarını kostyum şalvar, 38 dollarını kostyum palto, 11 dollarını corab və 18 dollarını kəmərə xərcləyib. O, həmçinin bir cüt ayaqqabı alıb, amma onların qəbzini itirib. Büdcəsindən 16 dolları qalıb. Aleksis ayaqqabı üçün nə qədər pul ödəyib?","S, Alexisin ayaqqabı üçün ödədiyi məbləğ olsun. O, S + 30 + 46 + 38 + 11 + 18 = S + <<+30 + 46 + 38 + 11 + 18=143>>143 xərcləyib. O, büdcəsinin 16 dollarından başqa hamısını istifadə edib, ona görə də S + 143 = 200 - 16 = 184. Beləliklə, Alexis ayaqqabı üçün S = 184 - 143 = $<<184-143=41>>41 ödəyib. #### 41"
" Tina saatda 18 dollar qazanır. Əgər o, növbədə 8 saatdan çox işləyirsə, əlavə iş vaxtına uyğundur və bu, saatlıq əmək haqqınız + saatlıq əmək haqqınızın 1/2 hissəsi ilə ödənilir. Əgər o, 5 gün ərzində hər gün 10 saat işləyirsə, nə qədər pul qazanır?","O, gündə 8 saat işləyir və saatı 18 dollar qazanır, buna görə də 8 saatlıq növbə üçün 8*18 = $<<8*18=144.00>>144.00 qazanır. O, gündə 10 saat işləyir və 8 saatdan çox işləyən hər hansı bir şəxs əlavə iş vaxtına uyğundur, buna görə də 10-8 = <<10-8=2>>2 saat əlavə iş vaxtı alır. Əlavə iş vaxtı yarım saat kimi hesablanır və o, saatda 18 dollar qazanır, ona görə də əlavə iş haqqı 18*.5 = $<<18*.5=9.00>>9.00-dur. Onun əlavə iş haqqı 18+9 = $<<18+9=27.00>>27.00-dur. Onun baza haqqı 8 saatlıq növbə üçün 144.00 dollardır və o, 5 gün işləyir və 5 * $144 = $<<144*5=720.00>>720.00 qazanır. Onun əlavə iş haqqı saatı 27.00 dollardır və o, 2 saat işləyir. gündə əlavə iş saatı və 27*2 = $<<27*2=54.00>>54.00 əlavə iş saatı qazanır. 5 gün ərzində 2 saat əlavə iş saatı qazanır. 5 gün ərzində onun əsas əmək haqqı 720.00 dollardır və o, əlavə iş saatı qazanır. Beləliklə, o, 720 + $270 = $<<720+270=990.00>>990.00 #### 990"
"Dərin dəniz canavarı hər yüz ildə bir dəfə gəmidə yemək yeyib aclığını yatırmaq üçün sulardan qalxır. Üç yüz il ərzində o, 847 nəfəri yeyib. Zamanla daha böyük gəmilər tikilib, ona görə də hər yeni gəmidə əvvəlki gəmidən iki dəfə çox insan var. Canavarı ilk yüz ildə gəmidə neçə nəfər yeyib?"," Tutaq ki, S ilk yüz illik gəmidəki insanların sayıdır. İkinci yüz illik gəmidə birincidən iki dəfə çox adam var idi, ona görə də 2S adam var idi. Üçüncü yüz illik gəmidə ikincidən iki dəfə çox adam var idi, ona görə də 2 * 2S = <<2*2=4>>4S adam var idi. Bütün gəmilərdə S + 2S + 4S = 7S = 847 adam var idi. Beləliklə, canavarın ilk yüz ildə yediyi gəmidə S = 847 / 7 = <<847/7=121>>121 adam var idi. #### 121"
"Tobias 95 dollara yeni ayaqqabı alır. O, son üç aydır ki, hər ay pul yığır. O, ayda 5 dollar müavinət alır. O, həmçinin qazon biçir və həyət yollarını kürə ilə təmizləyir. O, qazon biçmək üçün 15 dollar, kürə ilə təmizləmək üçün isə 7 dollar alır. Ayaqqabıları aldıqdan sonra onun 15 dollar xırda pulu qalır. Əgər o, 4 qazon biçərsə, neçə həyət yolunu kürə ilə təmizləyib?"," O, cəmi 110 dollar qənaət etdi, çünki 95 + 15 = <<95+15=110>>110 O, müavinətindən 15 dollar qənaət etdi, çünki 3 x 5 = <<3*5=15>>15 O, qazon biçməklə 60 dollar qazandı, çünki 4 x 15 = <<4*15=60>>60 O, həyətləri kürə ilə təmizləməklə 35 dollar qazandı, çünki 110 - 60 - 15 = <<110-60-15=35>>35 O, həyətləri kürə ilə təmizləməklə 5 dollar qazandı, çünki 35 / 7 = <<35/7=5>>5 #### 5"
 Rendinin fermasında 60 manqo ağacı var. Həmçinin onun manqo ağaclarından iki dəfə az 5 hindistan cevizi ağacı var. Rendinin fermasında cəmi neçə ağac var?,"Rendinin manqo ağaclarının sayının yarısı 60/2 = <<60/2=30>>30 ağacdır. Beləliklə, Rendinin 30 - 5 = <<30-5=25>>25 kokos ağacı var. Buna görə də, Rendinin fermasında 60 + 25 = <<60+25=85>>85 ağacı var. #### 85"
" Jasper şam yeməyində şarküteri təqdim edəcək. O, 10 dollara 2 funt çedar pendiri, çedar pendirinin yarısına başa gələn bir funt qaymaqlı pendir və çedar pendirinin ikiqat qiymətinə olan bir paket soyuq kəsiklər alır. Tərkibinə nə qədər pul xərcləyir?", Bir funt qaymaqlı pendirin qiyməti 10 dollar / 2 = $<<10/2=5>>5 idi. Bir paket soyuq kəsim 10 dollar x 2 = $<<10*2=20>>20 idi. Jasper inqrediyentlərə 10 dollar + 5 dollar + 20 dollar = $<<10+5+20=35>>35 xərclədi. #### 35
 Coy 20 dəqiqəyə 8 səhifəlik kitab oxuya bilir. 120 səhifəlik kitabı oxumaq üçün ona neçə saat lazım olacaq?,"Bir saatda 20 dəqiqəlik 3 dəst var. Beləliklə, Coy bir saatda 8 x 3 = <<8*3=24>>24 səhifə oxuya bilər. 120 səhifə oxumaq üçün ona 120/24 = <<120/24=5>>5 saat lazım olacaq. #### 5"
" Ceyms media imperiyası yaradır. O, 2000 dollara bir film yaradır. Hər DVD-nin istehsalı 6 dollara başa gəlir. O, onu 2,5 dəfə baha satır. O, həftənin 5 günü ərzində gündə 500 film satır. 20 həftədə nə qədər qazanc əldə edir?"," O, hər DVD-ni 6*2.5=$<<6*2.5=15>>15-ə satdı. Beləliklə, o, 15-6=$<<15-6=9>>9 mənfəət əldə edir. Beləliklə, o, hər gün 9*500=$<<9*500=4500>>4500 mənfəət əldə edir. Beləliklə, o, 4500*5=$<<4500*5=22500>>22,500 qazanır. O, 22,500*20=$<<22500*20=450000>>450,000 qazanır. Sonra filmin yaradılması xərcindən sonra onun 450,000-2000=$<<450000-2000=448000>>448,000 mənfəəti var. #### 448000"
